NumeroBALEmetteur;NumeroBALRecepteur;Standard;NumeroDocument;TypeDocumentCode;TypeDocumentCodeAgence;NumeroIdentificationDestinataire;NumeroIdentificationDestinataireAgence;DateHeureDocument;NatureInstructions;RolePartieCitee;IdentificationPartieCitee;IdentificationPartieCiteeAgence;NumeroArticleClient;NumeroCommande;FrequenceProgrammeCode;NumeroAvisExpedition;QuantiteRecue;UniteMesureQuantiteRecue;DateHeureReception;DateHeureCalculProgramme;NumeroArticleSupplementaire;CodeDescriptionArticle;CodeIdentificationPointDechargement;ReferenceDelforPrecedent;DateHeureReferenceDelforPrecedent;QuantiteALivrer;UniteMesureQuantiteALivrer;CodeRaisonLivraison;CodeStatutProgramme;DateHeureLivraisonAuPlusTot;DateHeureLivraisonAuPlusTard
VDA4905;ECAR;EDIFACT;ME26070902200319;241;10;0060437618919153;5;20260709;10;CN;0060437618919153;5;9858223880;98448102;;;0;;;;9858223880;;ME M63;;;1560;PCE;113;4;20270510;20270516
VDA4905;ECAR;EDIFACT;ME26070902200319;241;10;0060437618919153;5;20260709;10;CN;0060437618919153;5;9858223880;98448102;;;0;;;;9858223880;;ME M63;;;1440;PCE;113;4;20270517;20270523
VDA4905;ECAR;EDIFACT;ME26070902200319;241;10;0060437618919153;5;20260709;10;CN;0060437618919153;5;9858223880;98448102;;;0;;;;9858223880;;ME M63;;;1080;PCE;113;4;20270524;20270530
VDA4905;ECAR;EDIFACT;ME26070902200319;241;10;0060437618919153;5;20260709;10;CN;0060437618919153;5;9858234980;98446438;;;0;;;;9858234980;;ME M63;;;0;PCE;113;4;20260715;20260715
VDA4905;ECAR;EDIFACT;ME26070902200319;241;10;0060437618919153;5;20260709;10;CN;0060437618919153;5;9858234980;98446438;;;0;;;;9858234980;;ME M63;;;90;PCE;113;4;20260716;20260716
VDA4905;ECAR;EDIFACT;ME26070902200319;241;10;0060437618919153;5;20260709;10;CN;0060437618919153;5;9858234980;98446438;;;0;;;;9858234980;;ME M63;;;90;PCE;113;4;20260831;20260906
VDA4905;ECAR;EDIFACT;ME26070902200319;241;10;0060437618919153;5;20260709;10;CN;0060437618919153;5;9858234980;98446438;;;0;;;;9858234980;;ME M63;;;90;PCE;113;4;20261005;20261011
VDA4905;ECAR;EDIFACT;ME26070902200319;241;10;0060437618919153;5;20260709;10;CN;0060437618919153;5;9858234980;98446438;;;0;;;;9858234980;;ME M63;;;90;PCE;113;4;20261109;20261115
VDA4905;ECAR;EDIFACT;ME26070902200319;241;10;0060437618919153;5;20260709;10;CN;0060437618919153;5;9858234980;98446438;;;0;;;;9858234980;;ME M63;;;0;PCE;113;4;20261130;20261206
VDA4905;ECAR;EDIFACT;ME26070902200319;241;10;0060437618919153;5;20260709;10;CN;0060437618919153;5;9858234980;98446438;;;0;;;;9858234980;;ME M63;;;90;PCE;113;4;20261207;20261213
VDA4905;ECAR;EDIFACT;ME26070902200319;241;10;0060437618919153;5;20260709;10;CN;0060437618919153;5;9858234980;98446438;;;0;;;;9858234980;;ME M63;;;180;PCE;113;4;20270104;20270110
VDA4905;ECAR;EDIFACT;ME26070902200319;241;10;0060437618919153;5;20260709;10;CN;0060437618919153;5;9858234980;98446438;;;0;;;;9858234980;;ME M63;;;180;PCE;113;4;20270111;20270117
VDA4905;ECAR;EDIFACT;ME26070902200319;241;10;0060437618919153;5;20260709;10;CN;0060437618919153;5;9858234980;98446438;;;0;;;;9858234980;;ME M63;;;90;PCE;113;4;20270118;20270124
VDA4905;ECAR;EDIFACT;ME26070902200319;241;10;0060437618919153;5;20260709;10;CN;0060437618919153;5;9858234980;98446438;;;0;;;;9858234980;;ME M63;;;180;PCE;113;4;20270125;20270131
VDA4905;ECAR;EDIFACT;ME26070902200319;241;10;0060437618919153;5;20260709;10;CN;0060437618919153;5;9858234980;98446438;;;0;;;;9858234980;;ME M63;;;90;PCE;113;4;20270201;20270207
VDA4905;ECAR;EDIFACT;ME26070902200319;241;10;0060437618919153;5;20260709;10;CN;0060437618919153;5;9858234980;98446438;;;0;;;;9858234980;;ME M63;;;90;PCE;113;4;20270208;20270214
VDA4905;ECAR;EDIFACT;ME26070902200319;241;10;0060437618919153;5;20260709;10;CN;0060437618919153;5;9858234980;98446438;;;0;;;;9858234980;;ME M63;;;180;PCE;113;4;20270215;20270221
VDA4905;ECAR;EDIFACT;ME26070902200319;241;10;0060437618919153;5;20260709;10;CN;0060437618919153;5;9858234980;98446438;;;0;;;;9858234980;;ME M63;;;90;PCE;113;4;20270222;20270228
VDA4905;ECAR;EDIFACT;ME26070902200319;241;10;0060437618919153;5;20260709;10;CN;0060437618919153;5;9858234980;98446438;;;0;;;;9858234980;;ME M63;;;90;PCE;113;4;20270301;20270307
